E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_420.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_420.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_420.jpg,0,0,0,0.0002311682
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_532.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_532.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_532.jpg,0,0,0,0.0003136783
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_609.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_609.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_609.jpg,0,0,0,0.0002505955
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_677.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_677.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_677.jpg,0,0,0,0.0002560179
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_751.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_751.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_751.jpg,0,0,0,0.0003401242
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_824.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_824.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_824.jpg,0,0.1308821,0,0.08338392
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_904.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_904.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_904.jpg,0,0.3653449,0,0.3328947
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_44_983.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_44_983.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_44_983.jpg,0,0.6077625,0,0.8128982
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_45_061.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_45_061.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_45_061.jpg,0,0.8828162,0,1.526182
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_45_143.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_45_143.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_45_143.jpg,0,1,0,2.463521
E:\gHUB\challenge_data\IMG\center_2019_03_24_20_46_45_223.jpg,E:\gHUB\challenge_data\IMG\left_2019_03_24_20_46_45_223.jpg,E:\gHUB\challenge_data\IMG\right_2019_03_24_20_46_45_223.jpg,0,1,0,3.407754
